State,Year,HPI
California,2014,273.986875
California,2015,293.455625
California,2016,314.311875
California,2017,336.98125
California,2018,358.07
California,2019,371.461875
California,2020,391.364375
California,2021,452.9425
California,2022,511.181875
California,2023,517.4325
California,2024,539.675
Florida,2014,239.02125
Florida,2015,260.704375
Florida,2016,284.280625
Florida,2017,306.46875
Florida,2018,328.934375
Florida,2019,348.43125
Florida,2020,373.183125
Florida,2021,443.04625
Florida,2022,544.864375
Florida,2023,583.655625
Florida,2024,605.0806249999999
Georgia,2014,196.665625
Georgia,2015,208.716875
Georgia,2016,221.081875
Georgia,2017,234.14375
Georgia,2018,251.00187499999998
Georgia,2019,266.015
Georgia,2020,285.0025
Georgia,2021,332.47
Georgia,2022,396.515
Georgia,2023,425.06875
Georgia,2024,451.2025
Illinois,2014,197.40375
Illinois,2015,203.711875
Illinois,2016,210.198125
Illinois,2017,216.223125
Illinois,2018,221.79375
Illinois,2019,228.044375
Illinois,2020,237.43812499999999
Illinois,2021,260.93625
Illinois,2022,290.496875
Illinois,2023,309.97875
Illinois,2024,334.74
Michigan,2014,184.7075
Michigan,2015,195.65875
Michigan,2016,207.1125
Michigan,2017,221.71375
Michigan,2018,237.06062500000002
Michigan,2019,250.885
Michigan,2020,267.3
Michigan,2021,306.008125
Michigan,2022,346.58625
Michigan,2023,371.7625
Michigan,2024,400.09625
New York,2014,284.7
New York,2015,292.635625
New York,2016,301.38125
New York,2017,313.874375
New York,2018,330.2075
New York,2019,345.241875
New York,2020,366.221875
New York,2021,412.758125
New York,2022,465.66625
New York,2023,499.648125
New York,2024,540.308125
North Carolina,2014,212.73875
North Carolina,2015,221.68875
North Carolina,2016,232.1275
North Carolina,2017,243.79625
North Carolina,2018,258.483125
North Carolina,2019,273.200625
North Carolina,2020,292.17375
North Carolina,2021,341.773125
North Carolina,2022,411.03125
North Carolina,2023,443.313125
North Carolina,2024,469.646875
Ohio,2014,174.59375
Ohio,2015,181.044375
Ohio,2016,188.90312500000002
Ohio,2017,198.5575
Ohio,2018,209.97
Ohio,2019,221.6825
Ohio,2020,237.9025
Ohio,2021,270.06374999999997
Ohio,2022,305.210625
Ohio,2023,328.033125
Ohio,2024,353.4125
Pennsylvania,2014,229.724375
Pennsylvania,2015,235.435
Pennsylvania,2016,242.075
Pennsylvania,2017,250.3725
Pennsylvania,2018,261.00625
Pennsylvania,2019,273.135625
Pennsylvania,2020,289.90125
Pennsylvania,2021,325.439375
Pennsylvania,2022,365.150625
Pennsylvania,2023,389.53749999999997
Pennsylvania,2024,417.341875
Texas,2014,220.908125
Texas,2015,235.054375
Texas,2016,249.68625
Texas,2017,265.96125
Texas,2018,281.879375
Texas,2019,295.855
Texas,2020,312.53499999999997
Texas,2021,360.53375
Texas,2022,423.06875
Texas,2023,440.06125
Texas,2024,454.24125000000004
